cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
"species present, trait missing",Xestia rhomboidea,Larval Feeding on grasses,"larvae never feed on graminoid plants (Poaceae, Cyperaceae, Juncaceae)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cosmorhoe ocellata,Adult feeding,adults feed on flower nectar,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Thera juniperata,Larval feeding on herbs,larvae exclusively feed on woody plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Laodamia faecella,Larval socialization,larvae feed solitarily,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Noctua janthe,Larval feeding on aquatic reed,larva on terrestrial plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Eudonia mercurella,Adult feeding,adults feed on flower nectar,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Evergestis limbata,Larval Feeding on grasses,"larvae never feed on graminoid plants (Poaceae, Cyperaceae, Juncaceae)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Luperina testacea,Larval socialization,larvae feed solitarily,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Mythimna pallens,Larval feeding on aquatic reed,larva on terrestrial plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Autographa gamma,Migration,species known to perform (seasonal) long-distance migrations from southern Europe (Mediterranean) into central Europe (and back).,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Diloba caeruleocephala,Larva Feeding Place,larvae are external feeders throughout their life,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Oligia strigilis,Larval Feeding on grasses,larvae exclusively known to feed on graminoid plants in nature,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Euthrix potatoria,Oviposition and larval feeding location,"oviposition and larval feeding predominately occur in the herb layer (<50 cm), thus prone to flood events",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Oligia versicolor,Larval socialization,larvae feed solitarily,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Anania stachydalis,Larval feeding on herbs,larvae only feed on herbaceous plants.,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Apamea crenata,Larval feeding on aquatic reed,larva on terrestrial plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Xestia rhomboidea,Larval habitat (above or below ground),larvae live above ground (except perhaps for pupation),,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Craniophora ligustri,Hibernation in larval state recorded,No,no hibernation in larval stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Melanthia procellata,Larva Feeding Place,larvae are external feeders throughout their life,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Lythria purpuraria,Larval Feeding on grasses,"larvae never feed on graminoid plants (Poaceae, Cyperaceae, Juncaceae)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Mormo maura,Pupation Site,"pupation site in or close to ground in low vegetation (<30 cm), thus prone to flood events.",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Philereme vetulata,Hibernation in larval state recorded,No,no hibernation in larval stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Agrochola litura,Development of female wings,females with wings well developed,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Caradrina morpheus,Larval feeding on herbs,larvae only feed on herbaceous plants.,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Acontia trabealis,Larval feeding on aquatic reed,larva on terrestrial plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Orthonama vittata,Pupation Site,"pupation site in or close to ground in low vegetation (<30 cm), thus prone to flood events.",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Drymonia dodonaea,Larval Feeding on dead plant matter,larvae feed on living plant tissues,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Evergestis limbata,Larval habitat (above or below ground),larvae live above ground (except perhaps for pupation),,,,moderate,the trait was not extracted for this species
"species present, trait missing",Oligia strigilis,Larval habitat (above or below ground),larvae live above ground (except perhaps for pupation),,,,moderate,the trait was not extracted for this species
"species present, trait missing",Catoptria verella,Larval Feeding on softwood trees,"larval host range does not include softwood trees, which are characteristic elements of floodplain forest vegetation (viz. Populus, Salix, Alnus)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cabera exanthemata,Development of female wings,females with wings well developed,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Xanthia aurago,Larval Feeding on mosses and lychens,larvae feed on vascular plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Comibaena bajularia,Larva Feeding Place,larvae are external feeders throughout their life,,,,moderate,the trait was not extracted for this species
